interval_qps l0_files total_mem_size pending_bytes
62.26 17 130.03 60.66
124.51 15 130.03 60.97
140.11 18 81.31 61.4
91.5 16 111.86 61.61
89.87 18 75.69 61.92
62.09 16 75.52 62.03
114.24 17 130.03 62.24
124.51 19 130.03 62.46
26.38 18 27.56 62.87
160.62 20 65.42 63.19
7.55 21 8.29 63.21
38.02 17 47.99 63.2
140.74 18 130.03 63.32
66.32 21 4.25 63.84
0.67 21 4.95 63.84
17.11 21 22.82 63.84
102.66 17 130.03 63.73
62.25 15 130.03 63.94
124.51 17 130.03 64.25
73.31 19 76.56 64.57
53.4 20 67.31 64.68
7.7 21 10.34 64.79
176.87 18 130.03 65.0
62.25 19 130.03 65.11
7.88 20 73.24 65.22
178.88 19 130.03 65.53
5.18 21 5.41 65.94
6.5 21 12.2 65.94
28.33 18 41.79 65.84
146.74 19 130.03 66.05
124.16 18 129.67 66.46
63.01 20 65.44 66.77
7.17 21 7.92 66.88
8.32 21 16.61 66.79
170.86 18 130.03 66.99
65.12 20 68.01 67.3
6.72 21 10.02 67.41
137.83 19 88.95 67.52
44.25 21 5.13 67.93
7.32 21 12.77 67.93
38.44 18 52.92 67.83
136.34 20 65.33 68.24
7.43 21 8.07 68.26
8.13 21 16.56 68.26
103.29 16 124.43 68.26
129.85 18 130.03 68.57
8.0 20 8.36 68.89
8.12 20 16.83 68.8
108.39 17 130.03 68.7
6.19 19 6.46 69.11
6.55 19 13.31 68.92
9.25 19 22.96 68.92
9.02 19 32.38 68.73
8.14 19 40.88 68.73
88.31 20 68.09 68.75
7.17 21 10.56 68.77
8.12 18 19.03 68.77
99.33 19 57.76 68.88
41.24 19 100.83 68.69
34.04 21 6.35 69.01
8.12 21 14.83 68.91
8.1 21 23.3 68.72
7.67 21 31.31 68.62
8.87 21 40.57 68.53
8.13 21 49.06 68.53
99.87 13 88.34 64.16
132.93 15 97.13 64.29
205.8 18 117.01 64.69
78.38 21 3.82 65.01
7.24 21 11.38 64.86
8.12 21 19.87 64.86
108.48 13 68.15 64.91
121.52 14 130.03 64.81
124.51 16 130.03 65.13
96.6 18 100.88 65.39
90.39 20 65.25 65.61
7.33 21 7.89 65.81
7.11 21 15.31 65.63
9.17 21 24.89 65.44
8.13 21 33.38 65.44
8.11 21 41.84 65.25
8.11 21 50.31 65.06
8.1 21 58.78 64.86
7.17 21 66.27 64.86
5.43 22 6.92 64.88
7.71 22 14.97 64.68
8.83 22 24.19 64.49
8.1 22 32.65 64.29
8.11 22 41.12 64.12
8.13 22 49.61 64.12
7.44 22 57.39 63.93
8.76 22 66.53 63.83
6.5 23 8.31 63.94
8.07 23 16.74 63.74
8.13 23 25.23 63.74
152.83 16 119.82 63.84
134.28 18 130.03 64.26
63.06 20 65.86 64.48
171.39 19 114.83 64.79
20.09 21 5.78 65.11
85.42 18 94.99 65.01
98.56 20 67.88 65.42
7.67 21 10.88 65.43
52.49 18 65.7 65.43
125.02 20 66.23 65.75
8.52 21 10.11 65.86
7.02 21 17.44 65.76
169.18 19 129.1 65.96
