interval_qps l0_files total_mem_size pending_bytes
158.64 19 130.03 58.41
3.74 20 68.92 58.61
6.79 21 11.0 58.8
6.5 21 17.78 58.8
6.5 21 24.58 58.8
6.51 21 31.37 58.8
6.5 21 38.16 58.8
6.5 21 44.95 58.8
6.5 21 51.74 58.8
6.5 21 58.56 58.8
6.42 21 65.3 58.8
4.58 22 5.07 58.99
26.17 19 32.39 58.99
96.12 21 2.75 59.38
4.13 21 7.06 59.38
5.19 21 12.48 59.38
4.66 21 17.35 59.38
4.66 21 22.22 59.38
4.66 21 27.09 59.38
160.82 19 130.03 59.57
4.86 21 5.08 59.95
113.09 18 123.18 59.95
72.16 21 3.5 60.53
5.85 21 9.61 60.53
5.84 21 15.71 60.53
5.85 21 21.82 60.53
5.85 21 27.93 60.53
5.85 21 34.03 60.53
5.85 21 40.14 60.53
5.84 21 46.24 60.53
5.85 21 52.35 60.53
5.85 21 58.46 60.53
5.85 21 64.56 60.53
4.47 22 4.22 60.73
3.74 22 8.13 60.73
34.09 19 43.73 60.73
84.52 20 66.98 60.92
4.66 21 6.83 61.11
4.19 21 11.21 61.11
4.19 21 15.58 61.11
4.19 21 19.96 61.11
4.19 21 24.34 61.11
4.2 21 28.72 61.11
4.19 21 33.1 61.11
4.19 21 37.47 61.11
4.2 21 41.85 61.11
4.19 21 46.23 61.11
4.19 21 50.61 61.11
4.19 21 54.98 61.11
4.2 21 59.36 61.11
4.19 21 63.74 61.11
2.92 21 66.79 61.11
3.44 22 5.38 61.3
2.68 22 8.18 61.3
2.68 22 10.98 61.3
2.68 22 13.78 61.3
2.68 22 16.58 61.3
2.68 22 19.38 61.3
2.68 22 22.18 61.3
2.68 22 24.98 61.3
2.68 22 27.78 61.3
2.68 22 30.58 61.3
136.91 11 108.55 59.91
82.75 12 130.03 59.96
62.25 13 130.03 60.15
0.0 14 65.01 60.34
62.26 14 130.03 60.34
96.52 16 100.8 60.59
90.25 17 130.03 60.78
0.0 17 130.03 60.78
62.26 18 130.03 60.97
0.0 18 130.03 60.97
62.25 19 130.03 60.95
0.59 20 65.63 61.14
3.76 20 69.56 61.14
3.41 21 8.1 61.34
3.0 21 11.24 61.34
3.0 21 14.38 61.34
2.82 21 17.32 61.34
3.98 21 21.47 61.05
3.76 21 25.39 61.05
3.37 21 28.91 61.05
4.66 21 33.78 60.98
5.52 21 39.55 60.01
6.52 21 46.36 59.93
8.0 21 54.71 58.74
7.95 21 63.01 58.67
7.01 21 70.33 58.6
6.29 22 11.88 58.79
5.2 22 17.32 58.79
6.75 22 24.36 58.57
8.64 22 33.39 58.5
8.13 22 41.88 58.5
8.13 22 50.37 58.5
7.79 22 58.5 58.5
8.02 22 66.88 58.5
5.94 23 8.07 58.69
5.2 23 13.5 58.69
4.51 23 18.22 58.69
5.92 23 24.39 58.69
6.44 23 31.11 57.64
6.51 23 37.91 57.64
6.5 23 44.7 57.64
6.51 23 51.49 57.64
7.37 23 59.19 56.59
7.32 23 66.83 55.53
5.85 24 7.92 55.72
5.2 24 13.35 55.72
5.2 24 18.78 55.72
5.27 24 24.28 55.43
6.48 24 31.05 55.43
8.11 24 39.51 54.44
8.14 24 48.01 54.44
8.13 24 56.49 54.44
8.13 24 64.98 54.44
6.5 24 71.77 54.44
5.91 24 77.95 54.44
112.12 9 130.03 53.56
62.25 10 130.03 53.32
62.25 11 130.03 53.44
62.26 12 130.03 53.63
0.0 12 130.03 53.63
0.0 12 130.03 53.63
0.0 12 130.03 53.63
0.0 12 130.03 53.63
0.0 12 130.03 53.63
0.0 12 130.03 53.56
0.0 13 65.02 53.76
62.25 13 130.03 53.76
0.0 13 130.03 53.76
0.0 13 130.03 53.54
0.0 13 130.03 53.54
6.14 8 71.43 53.57
99.41 9 110.47 51.85
102.8 11 87.79 49.42
102.7 12 130.03 48.29
42.26 10 109.16 47.21
82.24 11 130.03 45.85
119.7 13 125.01 43.83
67.06 14 130.03 42.98
124.51 16 130.03 43.39
62.26 17 130.03 43.59
0.0 17 130.03 43.59
62.25 15 130.03 43.79
71.11 17 74.27 44.2
53.39 17 130.03 44.2
0.0 17 130.03 44.2
62.25 15 130.03 44.4
62.25 16 130.03 44.6
107.13 18 111.88 45.01
79.63 19 130.03 45.21
0.0 19 130.03 45.21
124.51 18 130.03 45.61
62.25 19 130.03 45.81
0.0 19 130.03 45.81
62.25 17 130.03 46.02
62.26 18 130.03 46.22
62.26 19 130.03 46.42
5.12 20 70.36 46.62
8.43 20 79.17 46.62
8.13 20 87.66 46.62
8.13 20 96.15 46.62
8.13 20 104.64 46.62
5.81 20 110.71 46.62
11.4 21 57.6 46.82
6.5 21 64.39 46.82
43.16 18 44.46 47.01
