time_micro,level0
2585.810907,20
2586.446915,20
2586.916827,21
2587.077148,21
2589.218131,21
2589.772483,21
2594.042256,22
2631.539902,20
2631.961697,20
2632.698288,20
2634.95538,20
2635.701539,20
2636.410811,20
2636.589668,21
2637.038601,21
2637.677948,21
2638.208184,21
2644.071426,22
2679.998401,20
2680.227056,20
2682.660884,20
2685.021156,20
2685.237236,21
2685.584155,21
2686.198767,21
2686.855322,21
2689.325091,21
2690.03971,21
2690.587245,21
2691.119554,21
2692.722721,22
2703.884777,23
2731.173435,20
2731.187923,20
2733.18065,20
2735.45734,20
2736.172204,20
2736.906015,20
2737.049804,21
2737.528752,21
2739.770386,21
2740.361057,21
2740.886649,21
2741.524775,21
2742.227782,21
2744.355416,22
2755.722202,23
2783.6182,20
2783.996102,20
2786.624078,20
2789.001985,20
2789.226335,20
2789.899926,20
2789.908514,21
2790.433351,21
2790.985659,21
2791.5268,21
2792.147968,21
2792.856626,21
2797.237457,22
2834.245825,20
2836.462972,20
2838.001299,20
2839.956142,21
2840.232315,21
2840.894483,21
2841.469391,21
2841.997273,21
2842.520804,21
2843.040946,21
2843.746819,21
2847.511412,22
2885.041701,20
2886.237948,20
2888.426175,20
2890.671326,20
2890.849178,21
2891.278723,21
2891.930278,21
2894.36012,21
2894.989228,21
2895.669173,21
2896.259339,21
2896.846184,21
2897.463647,21
2898.170734,22
2909.370933,23
2938.970069,20
2940.37828,20
2942.676989,20
2943.346648,20
2943.980988,20
2944.558022,20
2945.195254,20
2945.818276,20
2946.021102,21
2946.381779,21
2953.353201,22
2988.099032,20
2988.578651,20
2989.390837,20
2991.862953,20
2993.619998,21
2994.383392,21
2996.895163,21
2997.448382,21
2998.045826,21
2998.637044,21
2999.32379,21
2999.886434,21
3000.445765,21
3001.827216,22
3012.950719,23
3041.761049,20
3042.004864,20
3044.231656,20
3045.337914,20
3047.580371,20
3048.356952,20
3048.36536,21
3048.914411,21
3049.538032,21
3050.057514,21
3050.627329,21
3052.820597,21
3053.429222,21
3053.687957,21
3054.259983,21
3055.910623,22
3066.846887,23
3095.143572,20
3095.998418,20
3098.272641,20
3100.520731,20
3101.091582,20
3101.609646,20
3102.17222,20
3102.180782,21
3102.906701,21
3103.640398,21
3106.21143,21
3106.971839,21
3109.72963,22
3120.88536,23
3147.364909,20
3148.512764,20
3150.821207,20
3153.275294,20
3153.962688,20
3154.162745,21
3154.572397,21
3155.281507,21
3156.06993,21
3156.670251,21
3157.343327,21
3158.006486,21
3161.568682,22
3172.809568,23
3199.654699,20
3200.183236,20
3202.353386,20
3204.713923,20
3206.339591,21
3207.015358,21
3207.610316,21
3209.872306,21
3210.515635,21
3211.053422,21
3211.585105,21
3212.063187,21
3212.720603,21
3213.908753,22
3225.218046,23
3253.784041,20
3254.720739,20
3257.229276,20
3259.649396,20
3260.192221,20
3260.79367,21
3260.802184,21
3261.389217,21
3261.946262,21
3262.620014,21
3265.085661,21
3265.775401,21
3266.465637,21
3268.289559,22
3279.468548,23
3307.457549,20
3309.285418,20
3311.521366,20
3313.812377,20
3314.435964,21
3314.594348,21
3315.223082,21
3315.895604,21
3316.604383,21
3317.272059,21
3317.920752,21
3321.989137,22
3359.450364,20
3361.300598,20
3363.655776,20
3365.254081,21
3366.000579,21
3366.578213,21
3367.214561,21
3367.912697,21
3368.644055,21
3369.428274,21
3370.234059,21
3371.066658,21
3372.802258,22
3384.155018,23
3412.505381,20
3414.12258,20
3416.324163,20
3416.946964,20
3417.729123,20
3419.071717,21
3420.044125,21
3420.844589,21
3421.591307,21
3422.323359,21
3423.160738,21
3426.84667,22
3438.002389,23
3465.182803,20
3466.260334,20
3468.501046,20
3470.795832,20
3471.383185,21
3471.476213,21
3472.112978,21
3472.825788,21
3473.397197,21
3474.218715,21
3475.02465,21
3475.867071,21
3478.720357,22
3489.899899,23
3517.189216,20
3518.327734,20
3520.619116,20
3523.075192,20
3523.686973,20
3524.169082,21
3524.293249,21
3524.84206,21
3527.375414,21
3527.997745,21
3528.598198,21
3529.205478,21
3529.991211,21
3531.358312,22
3542.45315,23
3571.600933,20
3573.352998,20
3575.521542,20
3578.016483,20
3578.673964,21
3578.753331,21
3579.383854,21
3579.977364,21
3580.698224,21
3581.393427,21
3582.199235,21
3582.940244,21
3586.096946,22
3597.179252,23
