secs,user_cpu,sys_cpu,io_wait,cpu_percent,cpu_num,rss,vms,dirty,read_count,write_count,disk_read_bytes,disk_write_bytes,syscall_read_bytes,syscall_write_bytes,num_threads
81, 74.15, 6.53, 0.15, 100.0, 3, 425922560, 1788370944, 0, 101, 3002827, 24399872, 390578176, 50691, 390486975, 18
82, 75.08, 6.59, 0.15, 99.0, 3, 430518272, 1788370944, 0, 101, 3037554, 24399872, 395091968, 50691, 395001960, 18
83, 76.01, 6.67, 0.15, 101.0, 3, 435113984, 1855483904, 0, 101, 3072374, 24399872, 399622144, 50691, 399529028, 18
84, 76.93, 6.75, 0.15, 100.0, 3, 439709696, 1855483904, 0, 101, 3107060, 24399872, 404127744, 50691, 404038608, 18
85, 77.86, 6.82, 0.15, 100.0, 3, 444305408, 1855483904, 0, 101, 3141966, 24399872, 408666112, 50691, 408576863, 18
86, 78.78, 6.88, 0.15, 98.0, 3, 448630784, 1855483904, 0, 101, 3176098, 24399872, 413106176, 50691, 413014484, 18
87, 79.71, 6.95, 0.15, 100.0, 3, 453496832, 1855483904, 0, 101, 3212338, 24399872, 417816576, 50691, 417726126, 18
88, 80.63, 7.03, 0.15, 100.0, 3, 458362880, 1855483904, 0, 101, 3248924, 24399872, 422572032, 50691, 422482830, 18
89, 81.56, 7.11, 0.15, 101.0, 3, 463228928, 1855483904, 0, 101, 3284991, 24399872, 427261952, 50691, 427172050, 18
90, 82.51, 7.16, 0.15, 100.0, 3, 467824640, 1855483904, 0, 101, 3321296, 24399872, 431984640, 50691, 431892135, 18
91, 83.42, 7.23, 0.15, 98.0, 3, 472690688, 1855483904, 0, 101, 3357405, 24399872, 436678656, 50691, 436586815, 18
92, 84.37, 7.29, 0.15, 101.0, 3, 477556736, 1855483904, 0, 101, 3394194, 24399872, 441458688, 50691, 441369916, 18
93, 85.29, 7.37, 0.15, 100.0, 3, 482422784, 1855483904, 0, 101, 3430720, 24399872, 446210048, 50691, 446118745, 18
94, 86.17, 7.48, 0.15, 99.0, 3, 487288832, 1855483904, 0, 101, 3467009, 24399872, 450928640, 50691, 450836832, 18
95, 87.11, 7.55, 0.15, 101.0, 3, 491614208, 1855483904, 0, 101, 3499892, 24399872, 455200768, 50691, 455112041, 18
96, 88.0, 7.65, 0.15, 99.0, 3, 496209920, 1855483904, 0, 101, 3535664, 24399872, 459857920, 50691, 459762822, 18
97, 88.94, 7.7, 0.15, 99.0, 3, 501075968, 1922596864, 0, 101, 3571580, 24399872, 464527360, 50691, 464432412, 18
98, 89.85, 7.78, 0.15, 99.0, 3, 505671680, 1922596864, 0, 101, 3606286, 24399872, 469041152, 50691, 468944592, 18
99, 90.79, 7.82, 0.15, 98.0, 3, 510267392, 1922596864, 0, 101, 3640794, 24399872, 473534464, 50691, 473431100, 18
