secs_elapsed,interval_qps,batch_size,thread_num
1391,41186,512,12
1392,40838,512,12
1393,41164,512,12
1394,40530,512,12
1395,41163,512,12
1396,41810,512,12
1397,40711,512,12
1398,41719,512,12
1399,40680,512,12
1400,40013,512,12
1401,40498,512,12
1403,40262,512,12
1404,40272,512,12
1405,40864,512,12
1406,40715,512,12
1407,40627,512,12
1408,40895,512,12
1409,40523,512,12
1410,40993,512,12
1411,42605,512,12
1412,42191,512,12
1413,41850,512,12
1414,41989,512,12
1415,40491,512,12
1416,40164,512,12
1417,40996,512,12
1418,40113,512,12
1419,40090,512,12
1420,39911,512,12
1421,39985,512,12
1422,40723,512,12
1423,39971,512,12
1424,40592,512,12
1425,40229,512,12
1426,41494,512,12
1427,40129,512,12
1428,41167,512,12
1429,41569,512,12
1430,41102,512,12
1431,41584,512,12
1432,41721,512,12
1433,41440,512,12
1434,41540,512,12
1435,41691,512,12
1436,41747,512,12
1437,41609,512,12
1439,41851,512,12
1440,41603,512,12
1441,41735,512,12
1442,41289,512,12
1443,40957,512,12
1444,41343,512,12
1445,40707,512,12
1446,39451,512,12
1447,40281,512,12
1448,41300,512,12
1449,40517,512,12
1450,39966,512,12
1451,40166,512,12
1452,40301,512,12
1453,40268,512,12
1454,40558,512,12
1455,40815,512,12
1456,40609,512,12
1457,40222,512,12
1458,40127,512,12
1459,41133,512,12
1460,40417,512,12
1461,40348,512,12
1462,39635,512,12
1463,39422,512,12
1464,40626,512,10
1465,45733,512,10
1466,43583,512,10
1467,43072,512,11
1468,42925,512,11
1469,42619,512,11
1470,41578,512,12
1471,42102,512,12
1472,41800,512,12
1473,41879,512,12
1474,42793,512,12
1475,42864,512,12
1476,43310,512,12
1477,43112,512,12
1478,42235,512,12
1479,42254,512,12
1480,42068,512,12
1481,41845,512,12
1482,42674,512,12
1483,42948,512,12
1484,42806,512,12
1485,43171,512,12
1487,42872,512,12
1488,43101,512,12
1489,42219,512,12
1490,41629,512,12
1491,41850,512,12
1492,42182,512,12
1493,41647,512,12
1494,42015,512,12
1495,41983,512,12
1496,42142,512,12
1497,41739,512,12
